#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getAlignmentStats_makeTmpDir		complete	0	2016-09-30T17:37:15.869494
getAlignmentStats_generateStats_000		complete	0	2016-09-30T17:37:25.148551
getAlignmentStats_mergeStats		complete	0	2016-09-30T17:37:25.402367
getAlignmentStats_rmTmpDir		complete	0	2016-09-30T17:37:25.954839
getAlignmentStats_summarizeStats		complete	0	2016-09-30T17:37:26.005436
getChromDepth_makeTmpDir		complete	0	2016-09-30T17:37:16.024356
getChromDepth_sample000_makeTmpDir		complete	0	2016-09-30T17:37:16.177462
getChromDepth_sample000_estimateChromDepth_000_1		complete	0	2016-09-30T17:37:19.399814
getChromDepth_sample000_estimateChromDepth_001_2		complete	0	2016-09-30T17:37:23.130897
getChromDepth_sample000_estimateChromDepth_002_3		complete	0	2016-09-30T17:37:16.711467
getChromDepth_sample000_estimateChromDepth_003_4		complete	0	2016-09-30T17:37:21.872099
getChromDepth_sample000_estimateChromDepth_004_5		complete	0	2016-09-30T17:37:16.744573
getChromDepth_sample000_estimateChromDepth_005_6		complete	0	2016-09-30T17:37:16.999962
getChromDepth_sample000_estimateChromDepth_006_7		complete	0	2016-09-30T17:37:16.545669
getChromDepth_sample000_estimateChromDepth_007_8		complete	0	2016-09-30T17:37:17.952299
getChromDepth_sample000_estimateChromDepth_008_9		complete	0	2016-09-30T17:37:16.581583
getChromDepth_sample000_estimateChromDepth_009_10		complete	0	2016-09-30T17:37:19.193254
getChromDepth_sample000_estimateChromDepth_010_11		complete	0	2016-09-30T17:37:19.119241
getChromDepth_sample000_estimateChromDepth_011_12		complete	0	2016-09-30T17:37:21.776678
getChromDepth_sample000_estimateChromDepth_012_13		complete	0	2016-09-30T17:37:17.115079
getChromDepth_sample000_estimateChromDepth_013_14		complete	0	2016-09-30T17:37:16.605491
getChromDepth_sample000_estimateChromDepth_014_15		complete	0	2016-09-30T17:37:18.264800
getChromDepth_sample000_estimateChromDepth_015_16		complete	0	2016-09-30T17:37:16.676534
getChromDepth_sample000_estimateChromDepth_016_17		complete	0	2016-09-30T17:37:19.095615
getChromDepth_sample000_estimateChromDepth_017_18		complete	0	2016-09-30T17:37:16.652608
getChromDepth_sample000_estimateChromDepth_018_19		complete	0	2016-09-30T17:37:22.123537
getChromDepth_sample000_estimateChromDepth_019_20		complete	0	2016-09-30T17:37:16.766855
getChromDepth_sample000_estimateChromDepth_020_21		complete	0	2016-09-30T17:37:17.794625
getChromDepth_sample000_estimateChromDepth_021_22		complete	0	2016-09-30T17:37:18.734411
getChromDepth_sample000_estimateChromDepth_022_X		complete	0	2016-09-30T17:37:18.193883
getChromDepth_sample000_estimateChromDepth_023_Y		complete	0	2016-09-30T17:37:19.144715
getChromDepth_sample000_estimateChromDepth_024_MT_to_031_GL000235_1		complete	0	2016-09-30T17:37:17.067587
getChromDepth_sample000_estimateChromDepth_032_GL000201_1_to_036_GL000203_1		complete	0	2016-09-30T17:37:17.403502
getChromDepth_sample000_estimateChromDepth_037_GL000246_1_to_041_GL000244_1		complete	0	2016-09-30T17:37:19.071528
getChromDepth_sample000_estimateChromDepth_042_GL000238_1_to_045_GL000232_1		complete	0	2016-09-30T17:37:18.762533
getChromDepth_sample000_estimateChromDepth_046_GL000206_1_to_049_GL000241_1		complete	0	2016-09-30T17:37:17.044807
getChromDepth_sample000_estimateChromDepth_050_GL000243_1_to_053_GL000237_1		complete	0	2016-09-30T17:37:17.893673
getChromDepth_sample000_estimateChromDepth_054_GL000233_1_to_055_GL000204_1		complete	0	2016-09-30T17:37:17.547955
getChromDepth_sample000_estimateChromDepth_056_GL000198_1_to_057_GL000208_1		complete	0	2016-09-30T17:37:19.169044
getChromDepth_sample000_estimateChromDepth_058_GL000191_1		complete	0	2016-09-30T17:37:17.143176
getChromDepth_sample000_estimateChromDepth_059_GL000227_1		complete	0	2016-09-30T17:37:17.524718
